,[Key]resource-key:string,en-us:string,zh-cn:string,zh-tw:string,fr-fr:string,ja:string,ko-kr:string,es:string,Descriptions:string
#,# 资源键值,# 英语,# 汉语,# 繁體中文,# 法语,# 日语,# 韩语,# 西语,# 描述

# Navigation menu items,,,,,,,,,
 ,NAV_CONTAINERS,Containers,容器,容器,Containers,コンテナ,컨테이너,Contenedores,nav menu item
 ,NAV_IMAGES,Images,镜像,映像,Images,イメージ,이미지,Imágenes,nav menu item
 ,NAV_VOLUMES,Volumes,卷,卷,Volumes,ボリューム,볼륨,Volúmenes,nav menu item
 ,NAV_NETWORKS,Networks,网络,網路,Networks,ネットワーク,네트워크,Redes,nav menu item

# Containers page strings,,,,,,,,,
 ,DOCKER_CONTAINERS,Docker Containers,Docker 容器,Docker 容器,Docker Containers,Docker コンテナ,Docker 컨테이너,Contenedores Docker,page title: Docker Containers
 ,NO_CONTAINERS,No containers,暂无容器,暫無容器,No containers,コンテナがありません,컨테이너 없음,No hay contenedores,empty state message
 ,CONTAINER_NAME,Container Name,容器名称,容器名稱,Container Name,コンテナ名,컨테이너 이름,Nombre del contenedor,table header
 ,STATUS,Status,状态,狀態,Statut,ステータス,상태,Estado,table header
 ,CONTAINER_ID,Container ID,容器 ID,容器 ID,Container ID,コンテナ ID,컨테이너 ID,ID del contenedor,table header
 ,IMAGE_NAME,Image Name,镜像名称,映像名稱,Image Name,イメージ名,이미지 이름,Nombre de la imagen,table header
 ,IMAGE,Image,镜像,映像,Image,イメージ,이미지,Imagen,table header
 ,PORT_MAPPINGS,Port mappings,端口映射,埠映射,Port mappings,ポートマッピング,포트 매핑,Mapeos de puertos,table header
 ,CREATED_AT,Created At,创建时间,建立時間,Created At,作成日時,생성일시,Creado el,table header
 ,ACTIONS,Actions,操作,操作,Actions,操作,동작,Acciones,table header
 ,MORE,More,更多,更多,Plus,もっと見る,더보기,Más,more options tooltip
 ,START,Start,启动,啟動,Start,起動,시작,Iniciar,action button tooltip
 ,STOP,Stop,停止,停止,Stop,停止,정지,Detener,action button tooltip
 ,RESTART,Restart,重启,重啟,Restart,再起動,재시작,Reiniciar,action button tooltip
 ,PAUSE,Pause,暂停,暫停,Pause,一時停止,일시정지,Pausar,action button tooltip
 ,UNPAUSE,Unpause,恢复,恢復,Unpause,再開,재개,Reanudar,action button tooltip
 ,REMOVE,Remove,删除,刪除,Remove,削除,삭제,Eliminar,action button tooltip
 ,INFO,Info,信息,資訊,Info,情報,정보,Información,action button tooltip
 ,LOGS,Logs,日志,日誌,Logs,ログ,로그,Registros,action button tooltip
 ,STATS,Stats,统计,統計,Stats,統計,통계,Estadísticas,action button tooltip
 ,INSPECT,Inspect,检查,檢查,Inspect,検査,검사,Inspeccionar,action button tooltip
 ,PORTS_AND_VOLUMES,Ports & Volumes,端口和卷,埠和卷,Ports & Volumes,ポートとボリューム,포트 및 볼륨,Puertos y Volúmenes,tab label
 ,CREATE_CONTAINER,Create Container,创建容器,建立容器,Create Container,コンテナを作成,컨테이너 생성,Crear contenedor,button text
 ,CONTAINER_LOGS,Container Logs,容器日志,容器日誌,Container Logs,コンテナログ,컨테이너 로그,Registros del contenedor,dialog title
 ,CONTAINER_STATS,Container Stats,容器统计,容器統計,Container Stats,コンテナ統計,컨테이너 통계,Estadísticas del contenedor,dialog title
 ,CONTAINER_DETAILS,Container Details,容器详情,容器詳情,Container Details,コンテナ詳細,컨테이너 세부정보,Detalles del contenedor,dialog title
 ,CPU_USAGE,CPU Usage,CPU 使用率,CPU 使用率,CPU Usage,CPU 使用率,CPU 사용률,Uso de CPU,label
 ,MEMORY_USAGE,Memory Usage,内存使用,記憶體使用,Memory Usage,メモリ使用量,메모리 사용량,Uso de memoria,label
 ,NETWORK_IO,Network I/O,网络 I/O,網路 I/O,Network I/O,ネットワーク I/O,네트워크 I/O,E/S de red,label
 ,BLOCK_IO,Block I/O,磁盘 I/O,磁碟 I/O,Block I/O,ブロック I/O,블록 I/O,E/S de bloques,label
 ,LOADING_LOGS,Loading logs...,加载日志中...,載入日誌中...,Loading logs...,ログを読み込んでいます...,로그를 불러오는 중...,Cargando registros...,loading state
 ,NO_LOGS_AVAILABLE,No logs available,暂无日志,暫無日誌,No logs available,ログがありません,로그가 없습니다,No hay registros disponibles,empty state
 ,REFRESH,Refresh,刷新,重新整理,Refresh,更新,새로고침,Actualizar,button text

# Images page strings,,,,,,,,,
 ,DOCKER_IMAGES,Docker Images,Docker 镜像,Docker 映像,Docker Images,Docker イメージ,Docker 이미지,Imágenes Docker,page title: Docker Images
 ,ADD_IMAGE,Add Image,添加镜像,新增映像,Add Image,イメージを追加,이미지 추가,Agregar imagen,button text
 ,NO_IMAGES,No images,暂无镜像,暫無映像,No images,イメージがありません,이미지가 없습니다,No hay imágenes,empty state message
 ,IMAGE_ID,Image ID,镜像 ID,映像 ID,Image ID,イメージ ID,이미지 ID,ID de la imagen,table header
 ,PULL_FROM_REGISTRY,Pull from registry,从注册表拉取,從註冊表拉取,Pull from registry,レジストリからプル,레지스트리에서 가져오기,Extraer del registro,tab label
 ,IMPORT_FROM_TARBALL,Import from Tarball,从 Tarball 导入,從 Tarball 匯入,Import from Tarball,Tarball からインポート,Tarball에서 가져오기,Importar desde Tarball,tab label
 ,PULL_IMAGE_NAME_LABEL,Image name,镜像名称,映像名稱,Image name,イメージ名,이미지 이름,Nombre de la imagen,label
 ,PULL_IMAGE_NAME_PLACEHOLDER,e.g.: nginx, mysql, ubuntu,例如: nginx, mysql, ubuntu,"例如: nginx, mysql, ubuntu",e.g.: nginx, mysql, ubuntu,例: nginx, mysql, ubuntu,예: nginx, mysql, ubuntu,ej.: nginx, mysql, ubuntu,placeholder example
 ,TAG,Tag,标签,標籤,Tag,タグ,태그,Etiqueta,label
 ,TAG_PLACEHOLDER,e.g.: latest, 8.0,例如: latest, 8.0,"例如: latest, 8.0",e.g.: latest, 8.0,例: latest, 8.0,예: latest, 8.0,ej.: latest, 8.0,placeholder example
 ,PULL_PROGRESS,Pull progress:,拉取进度：,拉取進度：,Pull progress:,プル進捗:,풀 진행률:,Progreso de extracción:,progress label
 ,PULL_IMAGE,Pull image,拉取镜像,拉取映像,Pull image,イメージをプル,이미지 가져오기,Extraer imagen,button text
 ,PULLING,Pulling...,拉取中...,拉取中...,Pulling...,プル中...,가져오는 중...,Extrayendo...,in-progress text
 ,CANCEL,Cancel,取消,取消,Cancel,キャンセル,취소,Cancelar,button text
 ,BACK,Back,返回,返回,Back,戻る,뒤로,Volver,button text
 ,SELECT_TARBALL,Select Tarball file,选择 Tarball 文件,選擇 Tarball 檔案,Select Tarball file,Tarball ファイルを選択,Tarball 파일 선택,Seleccionar archivo Tarball,upload button
 ,IMPORT_PROGRESS,Import progress:,导入进度：,匯入進度：,Import progress:,インポート進捗:,가져오기 진행률:,Progreso de importación:,progress label
 ,IMPORT_IMAGE,Import image,导入镜像,匯入映像,Import image,イメージをインポート,이미지 가져오기,Importar imagen,button text
 ,IMPORTING,Importing...,导入中...,匯入中...,Importing...,インポート中...,가져오는 중...,Importando...,in-progress text
 ,EXPORT_IMAGE,Export image,导出镜像,匯出映像,Export image,イメージをエクスポート,이미지 내보내기,Exportar imagen,action tooltip
 ,EXPORTING,Exporting...,导出中...,匯出中...,Exporting...,エクスポート中...,내보내는 중...,Exportando...,in-progress text
 ,IMAGE_DETAILS,Image Details,镜像详情,映像詳情,Image Details,イメージ詳細,이미지 세부정보,Detalles de la imagen,dialog title
 ,IMAGE_HISTORY,Image History,镜像历史,映像歷史,Image History,イメージ履歴,이미지 히스토리,Historial de la imagen,dialog title
 ,SEARCH_IMAGES,Search Images,搜索镜像,搜尋映像,Search Images,イメージを検索,이미지 검색,Buscar imágenes,button text
 ,SEARCH,Search,搜索,搜尋,Search,検索,검색,Buscar,button text

# Volumes page strings,,,,,,,,,
 ,DOCKER_VOLUMES,Docker Volumes,Docker 卷,Docker 卷,Docker Volumes,Docker ボリューム,Docker 볼륨,Volúmenes Docker,page title: Docker Volumes
 ,NO_VOLUMES,No volumes,暂无卷,暫無卷,No volumes,ボリュームがありません,볼륨 없음,No hay volúmenes,empty state message
 ,VOLUME_NAME,Volume Name,卷名称,卷名稱,Volume Name,ボリューム名,볼륨 이름,Nombre del volumen,table header
 ,DRIVER,Driver,驱动,驅動,Driver,ドライバ,드라이버,Controlador,table header
 ,MOUNTPOINT,Mountpoint,挂载点,掛載點,Mountpoint,マウントポイント,마운트 지점,Punto de montaje,table header
 ,SIZE,Size,大小,大小,Size,サイズ,크기,Tamaño,table header
 ,CONTAINERS_COUNT,Containers,容器数,容器數,Containers,コンテナ数,컨테이너 수,Contenedores,table header
 ,CREATE_VOLUME,Create Volume,创建卷,建立卷,Create Volume,ボリュームを作成,볼륨 생성,Crear volumen,button text
 ,VOLUME_DETAILS,Volume Details,卷详情,卷詳情,Volume Details,ボリューム詳細,볼륨 세부정보,Detalles del volumen,dialog title
 ,PRUNE_VOLUMES,Prune Volumes,清理卷,清理卷,Prune Volumes,ボリュームを整理,볼륨 정리,Limpiar volúmenes,button text
 ,PRUNE_VOLUMES_CONFIRM,Are you sure you want to remove all unused volumes?,确定要删除所有未使用的卷吗？,確定要刪除所有未使用的卷嗎？,Are you sure you want to remove all unused volumes?,未使用のボリュームをすべて削除してもよろしいですか？,사용되지 않는 모든 볼륨을 제거하시겠습니까?,¿Está seguro de que desea eliminar todos los volúmenes no utilizados?,confirmation message

# Networks page strings,,,,,,,,,
 ,DOCKER_NETWORKS,Docker Networks,Docker 网络,Docker 網路,Docker Networks,Docker ネットワーク,Docker 네트워크,Redes Docker,page title: Docker Networks
 ,NO_NETWORKS,No networks,暂无网络,暫無網路,No networks,ネットワークがありません,네트워크 없음,No hay redes,empty state message
 ,NETWORK_NAME,Network Name,网络名称,網路名稱,Network Name,ネットワーク名,네트워크 이름,Nombre de red,table header
 ,NETWORK_ID,Network ID,网络 ID,網路 ID,Network ID,ネットワーク ID,네트워크 ID,ID de red,table header
 ,SCOPE,Scope,范围,範圍,Scope,スコープ,범위,Ámbito,table header
 ,CREATE_NETWORK,Create Network,创建网络,建立網路,Create Network,ネットワークを作成,네트워크 생성,Crear red,button text
 ,NETWORK_DETAILS,Network Details,网络详情,網路詳情,Network Details,ネットワーク詳細,네트워크 세부정보,Detalles de la red,dialog title
 ,SUBNET,Subnet,子网,子網路,Subnet,サブネット,서브넷,Subred,label
 ,GATEWAY,Gateway,网关,閘道,Gateway,ゲートウェイ,게이트웨이,Puerta de enlace,label
 ,IP_RANGE,IP Range,IP 范围,IP 範圍,IP Range,IP 範囲,IP 범위,Rango de IP,label

# Dashboard page strings,,,,,,,,,
 ,DASHBOARD,Dashboard,仪表板,儀表板,Dashboard,ダッシュボード,대시보드,Panel de control,page title
 ,SYSTEM_INFO,System Info,系统信息,系統資訊,System Info,システム情報,시스템 정보,Información del sistema,section title
 ,DOCKER_VERSION,Docker Version,Docker 版本,Docker 版本,Docker Version,Docker バージョン,Docker 버전,Versión de Docker,label
 ,API_VERSION,API Version,API 版本,API 版本,API Version,API バージョン,API 버전,Versión de API,label
 ,OS_TYPE,OS Type,操作系统,操作系統,OS Type,OS タイプ,OS 유형,Tipo de SO,label
 ,ARCHITECTURE,Architecture,架构,架構,Architecture,アーキテクチャ,아키텍처,Arquitectura,label
 ,TOTAL_MEMORY,Total Memory,总内存,總記憶體,Total Memory,総メモリ,총 메모리,Memoria total,label
 ,CPUS,CPUs,CPU 数,CPU 數,CPUs,CPU 数,CPU 수,CPUs,label
 ,RESOURCE_USAGE,Resource Usage,资源使用,資源使用,Resource Usage,リソース使用量,리소스 사용량,Uso de recursos,section title
